name,value,year
Prada,3557.5,2008.5
Prada,3552,2008.6
Prada,3546.5,2008.7
Prada,3541,2008.8
Prada,3535.5,2008.9
Prada,NA,2009
Prada,NA,2009.1
Prada,NA,2009.2
Prada,NA,2009.3
Prada,NA,2009.4
Prada,NA,2009.5
Prada,NA,2009.6
Prada,NA,2009.7
Prada,NA,2009.8
Prada,NA,2009.9
Prada,NA,2010
Prada,NA,2010.1
Prada,NA,2010.2
Prada,NA,2010.3
Prada,NA,2010.4
Prada,NA,2010.5
Prada,NA,2010.6
Prada,NA,2010.7
Prada,NA,2010.8
Prada,NA,2010.9
Prada,NA,2011
Prada,NA,2011.1
Prada,NA,2011.2
Prada,NA,2011.3
Prada,NA,2011.4
Prada,NA,2011.5
Prada,NA,2011.6
Prada,NA,2011.7
Prada,NA,2011.8
Prada,NA,2011.9
Prada,4271,2012
Prada,4400.9,2012.1
Prada,4530.8,2012.2
Prada,4660.7,2012.3
Prada,4790.6,2012.4
Prada,4920.5,2012.5
Prada,5050.4,2012.6
Prada,5180.3,2012.7
Prada,5310.2,2012.8
Prada,5440.1,2012.9
Prada,5570,2013
Prada,5610.7,2013.1
Prada,5651.4,2013.2
Prada,5692.1,2013.3
Prada,5732.8,2013.4
Prada,5773.5,2013.5
Prada,5814.2,2013.6
Prada,5854.9,2013.7
Prada,5895.6,2013.8
Prada,5936.3,2013.9
Prada,5977,2014
Prada,6001.5,2014.1
Prada,6026,2014.2
Prada,6050.5,2014.3
Prada,6075,2014.4
Prada,6099.5,2014.5
Prada,6124,2014.6
Prada,6148.5,2014.7
Prada,6173,2014.8
Prada,6197.5,2014.9
Prada,6222,2015
Prada,6150.2,2015.1
Prada,6078.4,2015.2
Prada,6006.6,2015.3
Prada,5934.8,2015.4
Prada,5863,2015.5
Prada,5791.2,2015.6
Prada,5719.4,2015.7
Prada,5647.6,2015.8
Prada,5575.8,2015.9
Prada,5504,2016
Prada,5425.2,2016.1
Prada,5346.4,2016.2
Prada,5267.6,2016.3
Prada,5188.8,2016.4
Prada,5110,2016.5
Prada,5031.2,2016.6
Prada,4952.4,2016.7
Prada,4873.6,2016.8
Prada,4794.8,2016.9
Prada,4716,2017
Prada,4725.6,2017.1
Prada,4735.2,2017.2
Prada,4744.8,2017.3
Prada,4754.4,2017.4
Prada,4764,2017.5
Prada,4773.6,2017.6
Prada,4783.2,2017.7
Prada,4792.8,2017.8
Prada,4802.4,2017.9
Prada,4812,2018
Salesforce.com,NA,2000
Salesforce.com,NA,2000.1
Salesforce.com,NA,2000.2
Salesforce.com,NA,2000.3
Salesforce.com,NA,2000.4
Salesforce.com,NA,2000.5
Salesforce.com,NA,2000.6
Salesforce.com,NA,2000.7
Salesforce.com,NA,2000.8
Salesforce.com,NA,2000.9
Salesforce.com,NA,2001
Salesforce.com,NA,2001.1
Salesforce.com,NA,2001.2
Salesforce.com,NA,2001.3
Salesforce.com,NA,2001.4
Salesforce.com,NA,2001.5
Salesforce.com,NA,2001.6
Salesforce.com,NA,2001.7
Salesforce.com,NA,2001.8
Salesforce.com,NA,2001.9
Salesforce.com,NA,2002
Salesforce.com,NA,2002.1
Salesforce.com,NA,2002.2
Salesforce.com,NA,2002.3
Salesforce.com,NA,2002.4
Salesforce.com,NA,2002.5
Salesforce.com,NA,2002.6
Salesforce.com,NA,2002.7
Salesforce.com,NA,2002.8
Salesforce.com,NA,2002.9
Salesforce.com,NA,2003
Salesforce.com,NA,2003.1
Salesforce.com,NA,2003.2
Salesforce.com,NA,2003.3
Salesforce.com,NA,2003.4
Salesforce.com,NA,2003.5
Salesforce.com,NA,2003.6
Salesforce.com,NA,2003.7
Salesforce.com,NA,2003.8
Salesforce.com,NA,2003.9
Salesforce.com,NA,2004
Salesforce.com,NA,2004.1
Salesforce.com,NA,2004.2
Salesforce.com,NA,2004.3
Salesforce.com,NA,2004.4
Salesforce.com,NA,2004.5
Salesforce.com,NA,2004.6
Salesforce.com,NA,2004.7
Salesforce.com,NA,2004.8
Salesforce.com,NA,2004.9
Salesforce.com,NA,2005
Salesforce.com,NA,2005.1
Salesforce.com,NA,2005.2
Salesforce.com,NA,2005.3
Salesforce.com,NA,2005.4
Salesforce.com,NA,2005.5
Salesforce.com,NA,2005.6
Salesforce.com,NA,2005.7
Salesforce.com,NA,2005.8
Salesforce.com,NA,2005.9
Salesforce.com,NA,2006
Salesforce.com,NA,2006.1
Salesforce.com,NA,2006.2
Salesforce.com,NA,2006.3
Salesforce.com,NA,2006.4
Salesforce.com,NA,2006.5
Salesforce.com,NA,2006.6
Salesforce.com,NA,2006.7
Salesforce.com,NA,2006.8
Salesforce.com,NA,2006.9
Salesforce.com,NA,2007
Salesforce.com,NA,2007.1
Salesforce.com,NA,2007.2
Salesforce.com,NA,2007.3
Salesforce.com,NA,2007.4
Salesforce.com,NA,2007.5
Salesforce.com,NA,2007.6
Salesforce.com,NA,2007.7
Salesforce.com,NA,2007.8
Salesforce.com,NA,2007.9
Salesforce.com,NA,2008
Salesforce.com,NA,2008.1
Salesforce.com,NA,2008.2
Salesforce.com,NA,2008.3
Salesforce.com,NA,2008.4
Salesforce.com,NA,2008.5
Salesforce.com,NA,2008.6
Salesforce.com,NA,2008.7
Salesforce.com,NA,2008.8
Salesforce.com,NA,2008.9
Salesforce.com,NA,2009
Salesforce.com,NA,2009.1
Salesforce.com,NA,2009.2
Salesforce.com,NA,2009.3
Salesforce.com,NA,2009.4
Salesforce.com,NA,2009.5
Salesforce.com,NA,2009.6
Salesforce.com,NA,2009.7
Salesforce.com,NA,2009.8
Salesforce.com,NA,2009.9
Salesforce.com,NA,2010
Salesforce.com,NA,2010.1
Salesforce.com,NA,2010.2
Salesforce.com,NA,2010.3
Salesforce.com,NA,2010.4
Salesforce.com,NA,2010.5
Salesforce.com,NA,2010.6
Salesforce.com,NA,2010.7
Salesforce.com,NA,2010.8
Salesforce.com,NA,2010.9
Salesforce.com,NA,2011
Salesforce.com,NA,2011.1
Salesforce.com,NA,2011.2
Salesforce.com,NA,2011.3
Salesforce.com,NA,2011.4
Salesforce.com,NA,2011.5
Salesforce.com,NA,2011.6
Salesforce.com,NA,2011.7
Salesforce.com,NA,2011.8
Salesforce.com,NA,2011.9
Salesforce.com,NA,2012
Salesforce.com,NA,2012.1
Salesforce.com,NA,2012.2
Salesforce.com,NA,2012.3
Salesforce.com,NA,2012.4
Salesforce.com,NA,2012.5
Salesforce.com,NA,2012.6
Salesforce.com,NA,2012.7
Salesforce.com,NA,2012.8
Salesforce.com,NA,2012.9
Salesforce.com,NA,2013
Salesforce.com,NA,2013.1
Salesforce.com,NA,2013.2
Salesforce.com,NA,2013.3
Salesforce.com,NA,2013.4
Salesforce.com,NA,2013.5
Salesforce.com,NA,2013.6
Salesforce.com,NA,2013.7
Salesforce.com,NA,2013.8
Salesforce.com,NA,2013.9
Salesforce.com,NA,2014
Salesforce.com,NA,2014.1
Salesforce.com,NA,2014.2
Salesforce.com,NA,2014.3
Salesforce.com,NA,2014.4
Salesforce.com,NA,2014.5
Salesforce.com,NA,2014.6
Salesforce.com,NA,2014.7
Salesforce.com,NA,2014.8
Salesforce.com,NA,2014.9
Salesforce.com,NA,2015
Salesforce.com,NA,2015.1
Salesforce.com,NA,2015.2
Salesforce.com,NA,2015.3
Salesforce.com,NA,2015.4
Salesforce.com,NA,2015.5
Salesforce.com,NA,2015.6
Salesforce.com,NA,2015.7
Salesforce.com,NA,2015.8
Salesforce.com,NA,2015.9
Salesforce.com,NA,2016
Salesforce.com,NA,2016.1
Salesforce.com,NA,2016.2
Salesforce.com,NA,2016.3
Salesforce.com,NA,2016.4
Salesforce.com,NA,2016.5
Salesforce.com,NA,2016.6
Salesforce.com,NA,2016.7
Salesforce.com,NA,2016.8
Salesforce.com,NA,2016.9
Salesforce.com,5224,2017
Salesforce.com,5344.8,2017.1
Salesforce.com,5465.6,2017.2
Salesforce.com,5586.4,2017.3
Salesforce.com,5707.2,2017.4
Salesforce.com,5828,2017.5
Salesforce.com,5948.8,2017.6
Salesforce.com,6069.6,2017.7
Salesforce.com,6190.4,2017.8
Salesforce.com,6311.2,2017.9
Salesforce.com,6432,2018
Samsung,5223,2000
Samsung,5338.1,2000.1
Samsung,5453.2,2000.2
Samsung,5568.3,2000.3
Samsung,5683.4,2000.4
Samsung,5798.5,2000.5
Samsung,5913.6,2000.6
Samsung,6028.7,2000.7
Samsung,6143.8,2000.8
Samsung,6258.9,2000.9
Samsung,6374,2001
Samsung,6567.6,2001.1
Samsung,6761.2,2001.2
Samsung,6954.8,2001.3
Samsung,7148.4,2001.4
Samsung,7342,2001.5
Samsung,7535.6,2001.6
Samsung,7729.2,2001.7
Samsung,7922.8,2001.8
Samsung,8116.4,2001.9
Samsung,8310,2002
Samsung,8563.6,2002.1
Samsung,8817.2,2002.2
Samsung,9070.8,2002.3
Samsung,9324.4,2002.4
Samsung,9578,2002.5
Samsung,9831.6,2002.6
Samsung,10085.2,2002.7
Samsung,10338.8,2002.8
Samsung,10592.4,2002.9
Samsung,10846,2003
Samsung,11016.7,2003.1
Samsung,11187.4,2003.2
Samsung,11358.1,2003.3
Samsung,11528.8,2003.4
Samsung,11699.5,2003.5
Samsung,11870.2,2003.6
Samsung,12040.9,2003.7
Samsung,12211.6,2003.8
Samsung,12382.3,2003.9
Samsung,12553,2004
Samsung,12793.3,2004.1
Samsung,13033.6,2004.2
Samsung,13273.9,2004.3
Samsung,13514.2,2004.4
Samsung,13754.5,2004.5
Samsung,13994.8,2004.6
Samsung,14235.1,2004.7
Samsung,14475.4,2004.8
Samsung,14715.7,2004.9
Samsung,14956,2005
Samsung,15077.3,2005.1
Samsung,15198.6,2005.2
Samsung,15319.9,2005.3
Samsung,15441.2,2005.4
Samsung,15562.5,2005.5
Samsung,15683.8,2005.6
Samsung,15805.1,2005.7
Samsung,15926.4,2005.8
Samsung,16047.7,2005.9
Samsung,16169,2006
Samsung,16237.4,2006.1
Samsung,16305.8,2006.2
Samsung,16374.2,2006.3
Samsung,16442.6,2006.4
Samsung,16511,2006.5
Samsung,16579.4,2006.6
Samsung,16647.8,2006.7
Samsung,16716.2,2006.8
Samsung,16784.6,2006.9
Samsung,16853,2007
Samsung,16936.6,2007.1
Samsung,17020.2,2007.2
Samsung,17103.8,2007.3
Samsung,17187.4,2007.4
Samsung,17271,2007.5
Samsung,17354.6,2007.6
Samsung,17438.2,2007.7
Samsung,17521.8,2007.8
Samsung,17605.4,2007.9
Samsung,17689,2008
Samsung,17671.9,2008.1
Samsung,17654.8,2008.2
Samsung,17637.7,2008.3
Samsung,17620.6,2008.4
Samsung,17603.5,2008.5
Samsung,17586.4,2008.6
Samsung,17569.3,2008.7
Samsung,17552.2,2008.8
Samsung,17535.1,2008.9
Samsung,17518,2009
Samsung,17715.3,2009.1
Samsung,17912.6,2009.2
Samsung,18109.9,2009.3
Samsung,18307.2,2009.4
Samsung,18504.5,2009.5
Samsung,18701.8,2009.6
Samsung,18899.1,2009.7
Samsung,19096.4,2009.8
Samsung,19293.7,2009.9
Samsung,19491,2010
Samsung,19884.9,2010.1
Samsung,20278.8,2010.2
Samsung,20672.7,2010.3
Samsung,21066.6,2010.4
Samsung,21460.5,2010.5
Samsung,21854.4,2010.6
Samsung,22248.3,2010.7
Samsung,22642.2,2010.8
Samsung,23036.1,2010.9
Samsung,23430,2011
Samsung,24376.3,2011.1
Samsung,25322.6,2011.2
Samsung,26268.9,2011.3
Samsung,27215.2,2011.4
Samsung,28161.5,2011.5
Samsung,29107.8,2011.6
Samsung,30054.1,2011.7
Samsung,31000.4,2011.8
Samsung,31946.7,2011.9
Samsung,32893,2012
Samsung,33564.7,2012.1
Samsung,34236.4,2012.2
Samsung,34908.1,2012.3
Samsung,35579.8,2012.4
Samsung,36251.5,2012.5
Samsung,36923.2,2012.6
Samsung,37594.9,2012.7
Samsung,38266.6,2012.8
Samsung,38938.3,2012.9
Samsung,39610,2013
Samsung,40195.2,2013.1
Samsung,40780.4,2013.2
Samsung,41365.6,2013.3
Samsung,41950.8,2013.4
Samsung,42536,2013.5
Samsung,43121.2,2013.6
Samsung,43706.4,2013.7
Samsung,44291.6,2013.8
Samsung,44876.8,2013.9
Samsung,45462,2014
Samsung,45445.5,2014.1
Samsung,45429,2014.2
Samsung,45412.5,2014.3
Samsung,45396,2014.4
Samsung,45379.5,2014.5
Samsung,45363,2014.6
Samsung,45346.5,2014.7
Samsung,45330,2014.8
Samsung,45313.5,2014.9
Samsung,45297,2015
Samsung,45948.1,2015.1
Samsung,46599.2,2015.2
Samsung,47250.3,2015.3
Samsung,47901.4,2015.4
Samsung,48552.5,2015.5
Samsung,49203.6,2015.6
Samsung,49854.7,2015.7
Samsung,50505.8,2015.8
Samsung,51156.9,2015.9
Samsung,51808,2016
Samsung,52252.1,2016.1
Samsung,52696.2,2016.2
Samsung,53140.3,2016.3
Samsung,53584.4,2016.4
Samsung,54028.5,2016.5
Samsung,54472.6,2016.6
Samsung,54916.7,2016.7
Samsung,55360.8,2016.8
Samsung,55804.9,2016.9
Samsung,56249,2017
Samsung,56613.1,2017.1
Samsung,56977.2,2017.2
Samsung,57341.3,2017.3
Samsung,57705.4,2017.4
Samsung,58069.5,2017.5
Samsung,58433.6,2017.6
Samsung,58797.7,2017.7
Samsung,59161.8,2017.8
Samsung,59525.9,2017.9
Samsung,59890,2018
SAP,6135,2000
SAP,6152.2,2000.1
SAP,6169.4,2000.2
SAP,6186.6,2000.3
SAP,6203.8,2000.4
SAP,6221,2000.5
SAP,6238.2,2000.6
SAP,6255.4,2000.7
SAP,6272.6,2000.8
SAP,6289.8,2000.9
SAP,6307,2001
SAP,6353.8,2001.1
SAP,6400.6,2001.2
SAP,6447.4,2001.3
SAP,6494.2,2001.4
SAP,6541,2001.5
SAP,6587.8,2001.6
SAP,6634.6,2001.7
SAP,6681.4,2001.8
SAP,6728.2,2001.9
SAP,6775,2002
SAP,6868.9,2002.1
SAP,6962.8,2002.2
SAP,7056.7,2002.3
SAP,7150.6,2002.4
SAP,7244.5,2002.5
SAP,7338.4,2002.6
SAP,7432.3,2002.7
SAP,7526.2,2002.8
SAP,7620.1,2002.9
SAP,7714,2003
SAP,7774.9,2003.1
SAP,7835.8,2003.2
SAP,7896.7,2003.3
SAP,7957.6,2003.4
SAP,8018.5,2003.5
SAP,8079.4,2003.6
SAP,8140.3,2003.7
SAP,8201.2,2003.8
SAP,8262.1,2003.9
SAP,8323,2004
SAP,8391.3,2004.1
SAP,8459.6,2004.2
SAP,8527.9,2004.3
SAP,8596.2,2004.4
SAP,8664.5,2004.5
SAP,8732.8,2004.6
SAP,8801.1,2004.7
SAP,8869.4,2004.8
SAP,8937.7,2004.9
SAP,9006,2005
SAP,9106.1,2005.1
SAP,9206.2,2005.2
SAP,9306.3,2005.3
SAP,9406.4,2005.4
SAP,9506.5,2005.5
SAP,9606.6,2005.6
SAP,9706.7,2005.7
SAP,9806.8,2005.8
SAP,9906.9,2005.9
SAP,10007,2006
SAP,10091.3,2006.1
SAP,10175.6,2006.2
SAP,10259.9,2006.3
SAP,10344.2,2006.4
SAP,10428.5,2006.5
SAP,10512.8,2006.6
SAP,10597.1,2006.7
SAP,10681.4,2006.8
SAP,10765.7,2006.9
SAP,10850,2007
SAP,10987.8,2007.1
SAP,11125.6,2007.2
SAP,11263.4,2007.3
SAP,11401.2,2007.4
SAP,11539,2007.5
SAP,11676.8,2007.6
SAP,11814.6,2007.7
SAP,11952.4,2007.8
SAP,12090.2,2007.9
SAP,12228,2008
SAP,12215.8,2008.1
SAP,12203.6,2008.2
SAP,12191.4,2008.3
SAP,12179.2,2008.4
SAP,12167,2008.5
SAP,12154.8,2008.6
SAP,12142.6,2008.7
SAP,12130.4,2008.8
SAP,12118.2,2008.9
SAP,12106,2009
SAP,12171,2009.1
SAP,12236,2009.2
SAP,12301,2009.3
SAP,12366,2009.4
SAP,12431,2009.5
SAP,12496,2009.6
SAP,12561,2009.7
SAP,12626,2009.8
SAP,12691,2009.9
SAP,12756,2010
SAP,12934.6,2010.1
SAP,13113.2,2010.2
SAP,13291.8,2010.3
SAP,13470.4,2010.4
SAP,13649,2010.5
SAP,13827.6,2010.6
SAP,14006.2,2010.7
SAP,14184.8,2010.8
SAP,14363.4,2010.9
SAP,14542,2011
SAP,14651.9,2011.1
SAP,14761.8,2011.2
SAP,14871.7,2011.3
SAP,14981.6,2011.4
SAP,15091.5,2011.5
SAP,15201.4,2011.6
SAP,15311.3,2011.7
SAP,15421.2,2011.8
SAP,15531.1,2011.9
SAP,15641,2012
SAP,15744.5,2012.1
SAP,15848,2012.2
SAP,15951.5,2012.3
SAP,16055,2012.4
SAP,16158.5,2012.5
SAP,16262,2012.6
SAP,16365.5,2012.7
SAP,16469,2012.8
SAP,16572.5,2012.9
SAP,16676,2013
SAP,16742.4,2013.1
SAP,16808.8,2013.2
SAP,16875.2,2013.3
