name,value,year,lastValue
Adobe,,2007,NA
Adobe,,2007.1,NA
Adobe,,2007.2,NA
Adobe,,2007.3,NA
Adobe,,2007.4,NA
Adobe,,2007.5,NA
Adobe,,2007.6,NA
Adobe,,2007.7,NA
Adobe,,2007.8,NA
Adobe,,2007.9,NA
Adobe,,2008,NA
Adobe,,2008.1,NA
Adobe,,2008.2,NA
Adobe,,2008.3,NA
Adobe,,2008.4,NA
Adobe,,2008.5,NA
Adobe,,2008.6,NA
Adobe,,2008.7,NA
Adobe,,2008.8,NA
Adobe,,2008.9,NA
Adobe,,2009,3161
Adobe,,2009.1,3161
Adobe,,2009.2,3207.5
Adobe,,2009.3,3254
Adobe,,2009.4,3300.5
Adobe,,2009.5,3347
Adobe,,2009.6,3393.5
Adobe,,2009.7,3440
Adobe,,2009.8,3486.5
Adobe,,2009.9,3533
Adobe,,2010,3579.5
Adobe,,2010.1,3626
Adobe,,2010.2,3680.4
Adobe,,2010.3,3734.8
Adobe,,2010.4,3789.2
Adobe,,2010.5,3843.6
Adobe,,2010.6,3898
Adobe,,2010.7,3952.4
Adobe,,2010.8,4006.8
Adobe,,2010.9,4061.2
Adobe,,2011,4115.6
Adobe,,2011.1,4170
Adobe,,2011.2,4208.7
Adobe,,2011.3,4247.4
Adobe,,2011.4,4286.1
Adobe,,2011.5,4324.8
Adobe,,2011.6,4363.5
Adobe,,2011.7,4402.2
Adobe,,2011.8,4440.9
Adobe,,2011.9,4479.6
Adobe,,2012,4518.3
Adobe,,2012.1,4557
Adobe,,2012.2,4591.2
Adobe,,2012.3,4625.4
Adobe,,2012.4,4659.6
Adobe,,2012.5,4693.8
Adobe,,2012.6,4728
Adobe,,2012.7,4762.2
Adobe,,2012.8,4796.4
Adobe,,2012.9,4830.6
Adobe,,2013,4864.8
Adobe,,2013.1,4899
Adobe,,2013.2,4942.4
Adobe,,2013.3,4985.8
Adobe,,2013.4,5029.2
Adobe,,2013.5,5072.6
Adobe,,2013.6,5116
Adobe,,2013.7,5159.4
Adobe,,2013.8,5202.8
Adobe,,2013.9,5246.2
Adobe,,2014,5289.6
Adobe,,2014.1,5333
Adobe,,2014.2,5425.4
Adobe,,2014.3,5517.8
Adobe,,2014.4,5610.2
Adobe,,2014.5,5702.6
Adobe,,2014.6,5795
Adobe,,2014.7,5887.4
Adobe,,2014.8,5979.8
Adobe,,2014.9,6072.2
Adobe,,2015,6164.6
Adobe,,2015.1,6257
Adobe,,2015.2,6389.9
Adobe,,2015.3,6522.8
Adobe,,2015.4,6655.7
Adobe,,2015.5,6788.6
Adobe,,2015.6,6921.5
Adobe,,2015.7,7054.4
Adobe,,2015.8,7187.3
Adobe,,2015.9,7320.2
Adobe,,2016,7453.1
Adobe,,2016.1,7586
Adobe,,2016.2,7733.4
Adobe,,2016.3,7880.8
Adobe,,2016.4,8028.2
Adobe,,2016.5,8175.6
Adobe,,2016.6,8323
Adobe,,2016.7,8470.4
Adobe,,2016.8,8617.8
Adobe,,2016.9,8765.2
Adobe,,2017,8912.6
Adobe,,2017.1,9060
Adobe,,2017.2,9228.8
Adobe,,2017.3,9397.6
Adobe,,2017.4,9566.4
Adobe,,2017.5,9735.2
Adobe,,2017.6,9904
Adobe,,2017.7,10072.8
Adobe,,2017.8,10241.6
Adobe,,2017.9,10410.4
Adobe,,2018,10579.2
Allianz,,2000,NA
Allianz,,2000.1,NA
Allianz,,2000.2,NA
Allianz,,2000.3,NA
Allianz,,2000.4,NA
Allianz,,2000.5,NA
Allianz,,2000.6,NA
Allianz,,2000.7,NA
Allianz,,2000.8,NA
Allianz,,2000.9,NA
Allianz,,2001,NA
